"readout","MASLD_dir","beta","beta_ageonly","dir_ageonly","beta_cov","p_cov","dir_cov","n_cov","beta_bal","dir_bal","bal_consistency","verdict"
"ct_CD8T","female",0.019,-0.012,"female",0.019,0.8999,"MALE",226,0.027,"MALE",0.61,"DIFFERENT -> disease-specific"
"ct_Tcell","-",0.114,0.052,"MALE",0.114,0.4563,"MALE",226,0.103,"MALE",0.86,""
"ct_NK","-",0.021,0.242,"MALE",0.021,0.8788,"MALE",226,0.014,"MALE",0.6,""
"ct_Bcell","-",0.121,0.154,"MALE",0.121,0.4314,"MALE",226,0.115,"MALE",0.85,""
"ct_Plasma","-",0.226,0.078,"MALE",0.226,0.1064,"MALE",226,0.209,"MALE",0.99,""
"ct_MonoMac","-",0.097,-0.204,"female",0.097,0.3831,"MALE",226,0.11,"MALE",0.94,""
"ct_DC","female",-0.075,-0.16,"female",-0.075,0.6163,"female",226,-0.078,"female",0.77,"SAME -> constitutional"
"ct_Neutrophil","-",0.127,0.152,"MALE",0.127,0.4003,"MALE",226,0.144,"MALE",0.96,""
"ct_Treg","female",0.091,0.066,"MALE",0.091,0.5551,"MALE",226,0.074,"MALE",0.79,"DIFFERENT -> disease-specific"
"ct_MAIT","MALE",0.27,0.272,"MALE",0.27,0.0754,"MALE",226,0.274,"MALE",1,"SAME -> constitutional"
"ct_MAITspec","MALE",0.296,0.258,"MALE",0.296,0.0492,"MALE",226,0.285,"MALE",1,"SAME -> constitutional"
"ct_MAITpromisc","-",-0.011,0.103,"MALE",-0.011,0.9399,"female",226,-0.013,"female",0.58,""
"st_CD8_cytotox","-",0.033,0.201,"MALE",0.033,0.8208,"MALE",226,0.03,"MALE",0.59,""
"st_Th1","female",0.08,0.279,"MALE",0.08,0.5688,"MALE",226,0.1,"MALE",0.89,"DIFFERENT -> disease-specific"
"st_Th17","-",0.213,0.266,"MALE",0.213,0.1622,"MALE",226,0.207,"MALE",0.99,""
"st_cytotoxCD4","-",0.011,0.206,"MALE",0.011,0.9386,"MALE",226,0.008,"MALE",0.51,""
"st_senescence","-",0.074,0.081,"MALE",0.074,0.6253,"MALE",226,0.053,"MALE",0.72,""
